last_name, first_name,year,batting_avg,slg_percent,isolated_power,xba,xslg,woba,xwoba,xiso,
Benintendi, Andrew,2019,.266,.431,.165,.270,.472,.330,.351,.202,
McNeil, Jeff,2019,.318,.531,.214,.294,.481,.385,.364,.188,
Albies, Ozzie,2019,.295,.500,.205,.294,.499,.354,.362,.205,
Robles, Victor,2019,.255,.419,.165,.239,.383,.317,.308,.144,
Devers, Rafael,2019,.311,.555,.244,.302,.535,.377,.374,.233,
Jimenez, Eloy,2019,.267,.513,.246,.271,.528,.343,.359,.257,
Torres, Gleyber,2019,.278,.535,.256,.261,.502,.359,.348,.241,
Chapman, Matt,2019,.249,.506,.257,.256,.509,.354,.367,.254,
Hoskins, Rhys,2019,.226,.454,.228,.220,.429,.347,.344,.209,
Schwarber, Kyle,2019,.250,.531,.282,.267,.560,.357,.381,.293,
DeJong, Paul,2019,.233,.444,.211,.240,.450,.322,.337,.210,
Moncada, Yoan,2019,.315,.548,.233,.287,.525,.380,.366,.237,
Acuna Jr., Ronald,2019,.280,.518,.238,.286,.583,.369,.400,.297,
Fletcher, David,2019,.290,.384,.094,.299,.379,.318,.330,.080,
Guerrero Jr., Vladimir,2019,.272,.433,.162,.257,.433,.329,.331,.176,
Soto, Juan,2019,.282,.548,.266,.289,.587,.394,.416,.298,
Reynolds, Bryan,2019,.314,.503,.189,.297,.485,.371,.368,.188,
