last_name, first_name,player_id,oaa,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_fieldout_2stars,n_opp_2stars,n_2star_percent,n_fieldout_1stars,n_opp_1stars,n_1star_percent
Pham, Tommy,502054,-6,2,68,2.9,12,35,34.3,36,51,70.6,47,56,83.9,35,38,92.1
Bruce, Jay,457803,-6,2,63,3.2,8,29,27.6,48,60,80.0,49,61,80.3,62,69,89.9
Kendrick, Howie,435062,-7,0,22,0.0,0,6,0.0,10,17,58.8,23,26,88.5,16,18,88.9
Ozuna, Marcell,542303,-7,3,90,3.3,10,41,24.4,39,63,61.9,78,90,86.7,74,79,93.7
Thompson, Trayce,572204,-7,1,20,5.0,2,7,28.6,5,7,71.4,20,24,83.3,16,18,88.9
Aoki, Norichika,493114,-7,0,33,0.0,3,16,18.8,12,17,70.6,23,25,92.0,17,20,85.0
Bonifacio, Jorge,593528,-7,0,30,0.0,0,7,0.0,16,22,72.7,21,28,75.0,26,30,86.7
Smith, Seth,452234,-7,0,35,0.0,2,13,15.4,10,22,45.5,31,32,96.9,18,20,90.0
Dean, Austin,621573,-8,0,11,0.0,0,10,0.0,4,5,80.0,6,9,66.7,6,7,85.7
Markakis, Nick,455976,-8,5,90,5.6,11,42,26.2,38,70,54.3,95,108,88.0,82,91,90.1
Young, Chris,455759,-8,0,21,0.0,0,10,0.0,5,11,45.5,11,15,73.3,17,17,100.0
Carrera, Ezequiel,485567,-8,0,20,0.0,0,6,0.0,13,23,56.5,21,25,84.0,20,23,87.0
Shuck, JB,543776,-8,0,14,0.0,0,9,0.0,2,8,25.0,15,17,88.2,13,14,92.9
Flores, Ramon,570717,-8,0,6,0.0,0,12,0.0,5,10,50.0,12,15,80.0,13,14,92.9
Stewart, Christin,621514,-8,0,19,0.0,2,12,16.7,7,15,46.7,8,11,72.7,8,8,100.0
Brantley, Michael,488726,-9,2,55,3.6,8,35,22.9,15,23,65.2,38,45,84.4,47,51,92.2
Pearce, Steve,456665,-9,0,16,0.0,0,4,0.0,4,11,36.4,9,10,90.0,6,11,54.5
Holliday, Matt,407812,-9,0,17,0.0,1,8,12.5,2,7,28.6,10,12,83.3,11,12,91.7
Granderson, Curtis,434158,-9,3,62,4.8,10,34,29.4,34,56,60.7,59,74,79.7,51,53,96.2
Calhoun, Kole,594777,-9,3,105,2.9,14,49,28.6,42,66,63.6,82,96,85.4,101,107,94.4
Calhoun, Willie,641432,-9,0,13,0.0,1,10,10.0,3,8,37.5,8,10,80.0,11,14,78.6
